

         MODEL DEFAULTS
         --------------

Model Name:         PROJEC~1.MOD
Model Description:  BOWLING ALLEY
Output File:        UNTITLED.OUT
Output Plot Style:  NONE
Run Mode:           SINGLE_STEP
Trace Vars:         DAY,WDAY,AI,SI,B,SI,WAIT,CTIME,N,L[0],L[1],L[2],L[12],L[13],L[14],L[15],L[16],L[17],L[18],L[19],L[20],L[21],L[22],L[23
Random Number Seed: 12345
Initial Values:     0,26,0,0,0,0,0,0,0,0
Ending Condition:   STOP_ON_EVENT
Event:              END   (1 iterations)
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       DAY         WDAY        AI          SI          B           SI          WAIT        CTIME       N           L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
 884.022     ARRIVE      48          1           1           48          47          0           47          0.000       0.000       125         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 884.022     START       48          1           1           48          48          0           48          0.000       0.000       126         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 885.213     ARRIVE      49          1           1           49          48          0           48          0.000       0.000       126         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 885.213     START       49          1           1           49          49          0           49          0.000       0.000       130         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 886.098     FINISH      25          1           1           49          49          0           49          0.000       0.000       130         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 888.760     ARRIVE      50          1           1           50          49          0           49          0.000       0.000       130         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 888.760     START       50          1           1           50          50          0           50          0.000       0.000       131         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 896.575     FINISH      26          1           1           50          50          0           50          0.000       0.000       131         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 897.004     FINISH      27          1           1           50          50          0           50          0.000       0.000       131         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 898.171     ARRIVE      51          1           1           51          50          0           50          0.000       0.000       131         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 898.171     START       51          1           1           51          51          0           51          0.000       0.000       132         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 898.815     ARRIVE      52          1           1           52          51          0           51          0.000       0.000       132         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
 898.815     START       52          1           1           52          52          0           52          0.000       0.000       135         0           0           0           0           14          22          0           0           0           0           0           0           0           0           0           
